subject,date,eid,ROI
ZFM-03061,2021-10-29,49d39c6a-11cc-4fd3-99c5-c612849bfa3b,Region4G
ZFM-06275,2024-01-12,8743fc31-2886-4505-89c4-873338f09143,Region3G
ZFM-04019,2022-03-18,59dada8a-a1c2-4ab5-bc10-b1baefcaaeaa,Region5G
ZFM-04026,2022-03-24,ad4cd658-c311-41f2-9141-f9d1b559187f,Region5G
ZFM-04533,2022-08-02,5791db3b-4911-4c8f-ae5e-1d6cc2ff586e,Region6G
ZFM-05245,2023-07-05,490f4be9-de15-4251-aae4-2e059bbc03c9,Region4G
ZFM-06268,2023-08-17,fb0d1483-df42-4b85-b299-ca93574fc58c,Region4G
ZFM-06305,2023-10-05,4d98e49b-4dcc-436d-8bc5-e11549cdf05b,Region6G
ZFM-04019,2022-12-30,0f41a88d-6746-4754-b8da-2992dcfcb55d,Region4G
ZFM-04533,2022-09-21,2fe3147b-1532-4232-80ba-4015b692c588,Region3G
ZFM-06272,2023-10-05,e1e48c2e-55f4-4390-a0b3-2ff6b85e736d,Region3G
ZFM-03447,2021-11-06,8656db14-e23c-41a6-af0e-1d5918ac3727,Region1G
ZFM-03450,2021-11-26,ad9dbfa4-ceaa-48c7-a4bd-40a7316aeedd,Region7G
ZFM-04026,2022-03-22,507bdfd5-59be-4291-868b-919b00983f43,Region6G
ZFM-04019,2022-07-05,410de9ba-bc77-48c6-8586-cdf070c13ff8,Region5G
ZFM-04026,2022-07-29,24f07e1c-d027-4275-8ce5-c8a21800fcf6,Region5G
ZFM-06272,2024-01-24,69fe2bf9-e52b-4b5e-8a6d-3c3f95d25d0a,Region6G
ZFM-05235,2023-03-31,5862e6c2-cf5a-430b-bab3-9d9a48e2ab80,Region5G
ZFM-03059,2022-01-05,e69d63c9-a62e-48b2-9773-b137667e46e7,Region1G
ZFM-03448,2021-11-22,1fea5830-c4a1-4920-b4de-f2a06f86bbeb,Region4G
ZFM-06272,2023-08-14,121f90b8-5f45-4652-83b1-ccb5948f211e,Region4G
ZFM-05235,2023-06-26,ec6db5c7-23e9-4e0d-9feb-b8774e30a388,Region5G
ZFM-03061,2021-10-22,ec99a9cb-0920-482f-92dd-2d508e3db62b,Region4G
ZFM-03062,2021-10-25,a61e44a9-c38a-487a-b0e6-fc3905597356,Region4G
ZFM-06275,2023-07-25,2aea6071-0e98-49a2-9b2a-ddd872af28c0,Region4G
ZFM-06275,2024-01-18,bcc2419f-f50e-4a2a-9c67-fef434a7be0b,Region3G
ZFM-03061,2021-09-14,39f5f80b-ac56-460c-a10b-a92e00cfd5e4,Region6G
ZFM-03061,2021-09-28,0eb07488-aceb-4ae3-8959-f71770b0decb,Region4G
ZFM-03450,2022-01-04,5824caa6-73db-41fe-94b6-0cb211d5fda8,Region7G
ZFM-03062,2021-10-20,89cc1df7-b043-4f94-804d-35b5d004fce0,Region4G
ZFM-06275,2023-10-04,28826a8d-b70e-4b36-8458-bb4a3ffe20c8,Region5G
ZFM-06275,2023-09-05,c1887d38-9d0a-4760-a89a-a611e03dbd44,Region5G
ZFM-04022,2022-06-24,51db0443-8031-42ca-a6f5-1a96f3fb3275,Region6G
ZFM-04533,2022-06-22,32600700-5ccd-4207-8be6-60d5e14f1521,Region6G
ZFM-05248,2023-03-31,dc80e090-11c7-4660-bac4-809fd0642234,Region3G
ZFM-03061,2021-10-14,9aac585c-4d5c-42d1-acac-0d9ab0ff4a9a,Region4G
ZFM-06275,2024-01-09,3bbadaff-290e-4cd2-bc7a-0e1a07388136,Region3G
ZFM-05236,2022-12-24,31fa227f-8e67-4a81-b4d9-d83e3712802e,Region3G
ZFM-06272,2024-01-17,363edc30-abad-496b-96e3-3c81b3a106df,Region3G
ZFM-04533,2022-07-27,9e1ef756-123c-40a8-9fb1-32b1558cd98b,Region6G
ZFM-03059,2021-09-02,272c7a84-1f76-4305-a355-4e2149726a9d,Region1G
ZFM-03061,2021-10-26,d97aa626-72aa-4bb6-8a83-af8e2ce5fa8f,Region4G
ZFM-04392,2023-02-02,dd521bae-7ba0-43aa-a3cb-c1e2924ae18b,Region3G
ZFM-06271,2023-07-21,8a312611-e4b1-403e-a4d3-7ba4e4af61c5,Region3G
ZFM-04392,2023-02-03,e637617d-4ef5-403e-9f3d-14cac9599e02,Region3G
ZFM-06271,2023-11-29,0fd1e093-a9eb-404a-a592-de4c5cb18b64,Region6G
ZFM-05235,2023-08-28,e6fc6ca9-6e57-4c0b-b436-5c63faae843d,Region5G
ZFM-03448,2021-11-19,bf0bc61a-d0d4-4e30-9268-9f1c8de29952,Region1G
ZFM-06305,2023-08-25,5b54b2c2-22ce-4d25-a1cd-2e611367b34d,Region5G
ZFM-05236,2022-11-29,4ef02143-d166-4efc-acc0-c9094d45f0a9,Region3G
ZFM-06268,2023-08-16,12a47690-a4f9-419f-8ca3-d722542b9bb0,Region3G
